adm_name,city,x,y
Витебская область,Глубокое,27.685843,55.138794
Восточно-Казахстанская область,Маканчи,82.023857,46.781622
Курская область,Курчатов,35.657143,51.660496
Северо-Казахстанская область,Кишкенеколь,72.331017,53.640013
Архангельская область,Боровое,47.766667,65.915599
Акмолинская область,Астраханка,69.982722,51.597549
Северо-Казахстанская область,Пресновка,67.158194,54.671534
Северо-Казахстанская область,Булаево,70.446127,54.902315
Восточно-Казахстанская область,Жезкент,81.393806,50.920458
Северо-Казахстанская область,Мамлютка,68.544501,54.93961
Костанайская область,Сарыколь,65.536295,53.316822
Акмолинская область,Зеренда,69.150424,52.906906
Омская область,Георгиевка,74.306071,55.073551
Павлодарская область,Железинка,75.321105,53.538462
Актюбинская область,Бадамша,58.279048,50.562267
Карагандинская область,Ботакара,73.710192,50.063474
Атырауская область,Миялы,53.795988,48.882933
Стамбул,Атакент,28.774691,41.056901
Одесская область,Сергеевка,30.370171,46.028193
Восточно-Казахстанская область,Бородулиха,80.936249,50.713574
Республика Башкортостан,Федоровка (Федоровский р-н),55.188008,53.178784
Санкт-Петербург,Молодежное (Осакаровский р-н),29.527013,60.205433
Карагандинская область,Топар,72.827157,49.521127
Кызылординская область,Саксаульский,61.155957,47.078051
Карагандинская область,Каркаралинск,75.470117,49.412283
Восточно-Казахстанская область,Калбатау,81.570567,49.328478
Атырауская область,Махамбет,51.585495,47.669593
Омская область,Омск,73.368212,54.989342
Восточно-Казахстанская область,Шар,81.047164,49.584958
Павлодарская область,Шарбакты,78.158793,52.488871
Мангистауская область,Форт-Шевченко,50.262833,44.507463
Западно-Казахстанская область,Чингирлау,52.914642,51.1883
Костанайская область,Тарановское,62.516536,52.835009
Костанайская область,Тобыл,63.640625,53.209141
Восточно-Казахстанская область,Кокпекты,82.158038,48.669341
Актюбинская область,Мартук,56.504076,50.746044
Павлодарская область,Аксуат,74.112745,53.486057
Костанайская область,Камысты,61.784221,51.964331
Алматинская область,Жансугуров,79.505403,45.39708
Саратовская область,Саратов,46.034158,51.533103
Западно-Казахстанская область,Переметное,50.853772,51.196919
Северо-Казахстанская область,Смирново,69.416945,54.515649
Акмолинская область,Степняк,70.783427,52.832
Актюбинская область,Кенкияк,57.111553,48.606148
Акмолинская область,Егиндыколь,69.476099,51.053922
Костанайская область,Заречное,63.734616,53.235138
город республиканского подчинения Бишкек,Бишкек,74.60371,42.876366
Львовская область,Берлин,25.083173,50.124581
Павлодарская область,Баянаул,75.700867,50.793053
Алматинская область,Карабулак (Ескельдинский р-н),78.48507,44.9091
Республика Тыва,Агадырь,90.697792,51.640999
Республика Саха (Якутия),Кеген,120.72036,60.915395
Карагандинская область,Жайрем,70.161092,48.333107
Северо-Казахстанская область,Явленка,68.458254,54.346585
Оренбургская область,Оренбург,55.096955,51.768199
Алматинская область,Кыргауылды,76.756774,43.176511
Москва,Москва,37.622504,55.753215
Челябинская область,Октябрьское,62.728979,54.412291
Алматинская область,Баканас,76.274235,44.806717
Северо-Казахстанская область,Талшик,71.870622,53.638272
Алматинская область,Иргели,76.765281,43.235403
Саратовская область,Иргиз,46.540897,51.698108
Западно-Казахстанская область,Таскала,50.292002,51.107926
Алматы,Балпык би,76.897522,43.32926
Костанайская область,Аманкарагай,64.088031,52.402776
Челябинская область,Челябинск,61.40259,55.160026
Алматинская область,Кызылту,77.067331,43.412716
Курская область,Большая Владимировка,36.161646,51.499564
Актюбинская область,Акраб,55.187452,50.556488
Акмолинская область,Акколь (Таласский р-н),70.952948,51.995855
Карагандинская область,Каражал,70.785762,48.001042
Чувашская Республика,Комсомольское,47.536392,55.262178
Павлодарская область,Коктобе,77.468994,51.528901
Республика Башкортостан,Самарское,58.155288,52.032721
Восточно-Казахстанская область,Большенарымское,84.510708,49.213089
Северо-Казахстанская область,Тимирязево,66.492013,53.748209
Карагандинская область,Габидена Мустафина,73.175568,50.140016
Восточно-Казахстанская область,Новая Шульба,81.327735,50.541881
Актюбинская область,Темир,57.12633,49.143136
Акмолинская область,Тайпак,67.716048,51.545012
Алматинская область,Кабанбай (Алакольский р-н),80.624174,45.83523
Костанайская область,Амангельды,63.584903,53.146191
Восточно-Казахстанская область,Актогай,79.676919,46.945388
Красноярский край,Красноярск,92.852536,56.010579
Западно-Казахстанская область,Казталовка,48.692201,49.765075
Жамбылская область,Саудакент,69.913139,43.737426
Кировская область,Караул,48.311243,58.276268
Костанайская область,Узунколь,65.3434,54.045149
Восточно-Казахстанская область,Баршатас,78.665766,48.173318
Курганская область,Курган,65.344316,55.441606
Самарская область,Черноярка,49.819838,53.463081
Магаданская область,Чапаев,152.05719,63.213187
Оренбургская область,Хобда,55.170231,50.849193
Новая Аквитания,Акку,-0.602033,42.973496
Карагандинская область,Егиндыбулак,76.386713,49.785983
Павлодарская область,Когалы,76.759586,51.404311
Костанайская область,Убаганское,64.296117,53.081407
Алматы,Толе би,76.901169,43.251716
Западно-Казахстанская область,Сайхин,46.766069,48.814624
Самарская область,Самара,50.101783,53.195538
Карагандинская область,Сарышаган,73.619264,46.115351
Акмолинская область,Коргалжын,70.024126,50.588272
Восточно-Казахстанская область,Жарык,81.537312,48.817531
Западно-Казахстанская область,Жанибек,46.848319,49.419345
Западно-Казахстанская область,Жангала,50.302871,49.215572
Западно-Казахстанская область,Жымпиты,52.603079,50.259069
Акмолинская область,Талапкер,71.158985,51.242631
Восточно-Казахстанская область,Молодежный (Уланский р-н),82.492903,49.874291
Омская область,Таврическое,73.638021,54.584464
Восточно-Казахстанская область,Серебрянск,83.300579,49.679563
Акмолинская область,Кабанбай батыра (Целиноградский р-н),71.358456,50.854607
Карагандинская область,Жезды,67.415301,47.762208
